id,name,latitude,longitude,start_trips,end_trips,total_trips
186,Congress St at Northern Ave,42.3481,-71.03764,1443,1453,2896
568,Shawmut Ave at Lenox St,42.335846129970776,-71.08038157224655,660,665,1325
225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,2015,1875,3890
71,Conway Park - Somerville Avenue,42.383638948222654,-71.10853672027588,1688,1710,3398
404,Mass Ave T Station,42.34135615767354,-71.08336953450817,2199,2211,4410
112,Clarendon Hill at Broadway,42.406302000000004,-71.132446,445,428,873
33,Kenmore Square,42.348706,-71.097009,3259,3310,6569
260,Fields Corner T Stop,42.29963348842063,-71.06068975823291,486,527,1013
399,Shawmut Ave at Oak St W,42.348545434111976,-71.06559185315746,1253,1239,2492
25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,1340,1301,2641
318,Ames St at Broadway,42.363692900000004,-71.0875672,1887,2011,3898
485,Revere City Hall,42.40741,-71.0139,64,73,137
479,Galileo Galilei Way at Main Street,42.36300378156009,-71.08974037706501,1443,1497,2940
39,Washington St at Rutland St,42.338514601785995,-71.07404083013535,2678,2632,5310
560,Flat 9 at Whittier,42.33420351352245,-71.08767616843123,516,569,1085
370,Dartmouth St at Newbury St,42.35096144421219,-71.07782810926437,2604,2690,5294
175,Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,1023,920,1943
50,Boylston St at Berkeley St,42.351141982547496,-71.07329249382019,1375,1355,2730
200,Washington St at Melnea Cass Blvd,42.332817,-71.081198,1016,1025,2041
49,Stuart St at Charles St,42.351146,-71.066289,2004,1998,4002
532,Concord Ave at Spinelli Place,42.390719,-71.1538877,221,233,454
448,Hale Park,42.4206487,-71.04371259999999,90,84,174
14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.337417484597296,-71.10286116600038,1765,2157,3922
11,Longwood Ave at Binney St,42.338629,-71.1065,3275,3567,6842
98,Warren St at Chelsea St,42.371848,-71.060292,2343,2353,4696
380,Mass Ave at Albany St,42.36135837662249,-71.09670273977825,4139,4168,8307
107,Ames St at Main St,42.3625,-71.08821999999999,5520,5719,11239
282,Stony Brook T Stop,42.316966,-71.10437399999999,1415,1427,2842
426,Surface Rd at Summer St,42.35294569782582,-71.05656400803126,1703,1762,3465
15,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970216,1407,1438,2845
332,Harvard Ave at Brainerd Rd,42.349530168903755,-71.13022770741735,1651,1660,3311
259,Washington St at Bowdoin St,42.29916497936589,-71.07345871645518,150,150,300
328,Grove St at Community Path,42.396386809455,-71.12011306006025,1786,1840,3626
492,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,2987,3116,6103
157,Seaport Blvd at Sleeper St,42.353178091862524,-71.04817356923377,2616,2618,5234
365,Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,1717,1727,3444
128,E Cottage St at Columbia Rd,42.320561,-71.06198,844,874,1718
93,JFK/UMass T Stop,42.320339735157226,-71.05118036270143,1057,1100,2157
412,Washington St at Peters Park,42.34303291130257,-71.06688730436872,1542,1544,3086
40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,2676,2701,5377
48,Post Office Square,42.355854355220046,-71.05459745998813,902,1025,1927
205,Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,230,226,456
540,Sumner St at Shirley Ave,42.408337058129746,-70.99804848432541,84,94,178
541,Orr Sq (Shirley Ave),42.40715655698643,-70.99272429943085,247,259,506
206,Government Center - Cambridge St at Court St,42.3598253979878,-71.05979576244863,2276,2186,4462
